step_times_dice,step_times_dice_hd
9.178576876e11,2.29436875e11
3.777746e8,5.456498e8
7.011632e8,6.431484e8
5.1314689999999994e8,4.890379e8
4.28045e8,4.062551e8
6.39453e8,6.536553e8
5.0113739999999994e8,6.490938e8
4.854196e8,6.266897e8
3.920548e8,2.250078e8
5.53974e8,6.950923e8
4.705537e8,6.621685e8
4.790648e8,6.803961e8
3.535508e8,2.7046e8
5.604106e8,6.990116e8
4.635526e8,6.967724e8
4.726391e8,7.070795e8
5.127376e8,2.671678e8
6.643881e8,7.086552e8
7.359703e8,7.159611e8
7.713228e8,8.778544e8
2.761566e8,2.6206620000000003e8
8.099818e8,7.011604e8
9.862512e8,6.97545e8
4.913949e8,6.975325e8
5.981251e8,2.6783079999999997e8
4.21425e8,6.87034e8
7.574579e8,8.439568e8
6.240041e8,6.834379e8
4.416872e8,2.6091180000000003e8
4.244567e8,6.827285e8
6.461215e8,6.909644e8
7.757145e8,6.704885e8
5.598691e8,2.507737e8
4.172372e8,6.816566e8
7.901283e8,6.746159e8
7.705181e8,6.848243e8
5.959339e8,2.479393e8
7.103559e8,7.173921e8
4.698468e8,6.812307e8
6.274487e8,6.846107e8
3.890675e8,2.512007e8
7.907625e8,6.808948e8
4.618069e8,6.843708e8
9.103656e8,6.779732e8
4.21141e8,2.526637e8
4.513055e8,6.859359e8
9.871819e8,8.036556e8
7.197729e8,7.002647e8
3.741406e8,2.567683e8
9.22406e8,6.77675e8
6.033097e8,6.885951e8
9.772982e8,6.922748e8
5.534694e8,2.543739e8
7.999271e8,6.82539e8
6.476466e8,6.869451e8
5.703612e8,6.908036e8
8.707259e8,2.67214e8
4.911537e8,6.980163e8
8.303389e8,7.702939e8
4.886464e8,7.667998e8
7.727028e8,2.609769e8
5.3450790000000006e8,8.444255e8
1.0946381e9,8.47604e8
2.391962e8,7.23527e8
8.752532e8,2.819933e8
8.049611e8,6.97959e8
7.328787e8,7.03938e8
8.076496e8,7.906436e8
6.648359e8,3.122884e8
6.912956e8,6.836063e8
7.689398e8,6.821353e8
6.234473e8,6.832333e8
5.452797e8,6.813083e8
7.196019e8,5.994907e8
7.364707e8,5.672608e8
8.819822e8,5.0341100000000006e8
1.4536999e9,6.983857e8
4.566675e8,5.890186e8
6.458071e8,5.60685e8
7.55055e8,7.232302e8
3.889763e8,6.887463e8
5.981735e8,6.046789e8
4.748067e8,5.45965e8
6.293558e8,5.102287e8
3.947137e8,6.677166e8
4.792051e8,5.639974e8
6.011799e8,5.743526e8
6.161423e8,5.49239e8
3.792745e8,6.832729e8
4.791534e8,6.040019e8
7.144041e8,5.804178e8
6.162936e8,5.0776619999999994e8
3.780776e8,6.68854e8
6.185211e8,5.582762e8
4.755062e8,4.618451e8
6.049544e8,6.942188e8
3.669588e8,6.477874e8
7.859672e8,5.459944e8
4.839134e8,4.976603e8
6.770237e8,7.331198e8
4.709172e8,6.81637e8
7.900281e8,6.936718e8
6.503221e8,4.539089e8
6.376488e8,8.569164e8
2.397761e8,6.874772e8
6.371831e8,5.3389450000000006e8
6.727837e8,5.101399e8
6.851023e8,6.993974e8
2.137977e8,6.372405e8
6.244712e8,5.154113e8
6.280092e8,5.500892e8
6.243974e8,7.301317e8
2.353464e8,6.873285e8
6.200381e8,6.01045e8
6.476854e8,5.622027e8
9.972601e8,7.436228e8
2.340494e8,5.82706e8
6.090226e8,4.245198e8
6.821472e8,7.136191e8
6.476102e8,8.660529e8
2.375772e8,5.782536e8
6.860394e8,4.334568e8
7.983762e8,7.30641e8
6.110174e8,7.247993e8
2.740279e8,5.740952e8
4.875691e8,6.299993e8
4.901772e8,6.835718e8
4.848673e8,6.436996e8
2.229282e8,5.686709e8
4.839232e8,5.3040889999999994e8
4.929717e8,6.295534e8
4.915007e8,7.197981e8
2.245318e8,5.462896e8
4.886589e8,5.844618e8
4.879335e8,6.743027e8
4.959211e8,7.099203e8
2.181531e8,5.1621360000000006e8
4.84819e8,5.163173e8
4.912832e8,7.638647e8
4.89254e8,8.133433e8
2.282691e8,5.563791e8
4.92872e8,7.289325e8
4.880013e8,6.111587e8
4.93745e8,6.972408e8
2.382824e8,4.682513e8
4.838065e8,6.109746e8
4.859346e8,9.316595e8
5.374977e8,6.235835e8
2.331713e8,4.570873e8
6.352623e8,5.948591e8
6.245634e8,8.568862e8
5.849514e8,1.012216e9
2.372953e8,7.31466e8
6.030981e8,4.609198e8
5.769319e8,1.0979041e9
5.837022e8,6.809824e8
2.281834e8,6.542071e8
5.844146e8,9.392941e8
5.771107e8,7.761975e8
5.875669e8,7.952737e8
3.274001e8,7.836834e8
4.878669e8,8.517484e8
6.151508e8,7.418009e8
5.909344e8,7.029893e8
3.447028e8,7.618038e8
4.908129e8,7.667155e8
5.903736e8,8.206751e8
5.861676e8,1.1511387e9
3.287738e8,5.1850569999999994e8
4.868077e8,4.248717e8
6.041225e8,5.0445019999999994e8
8.419475e8,5.768488e8
2.272286e8,5.1412480000000006e8
5.949206e8,4.095511e8
5.831619e8,5.600883e8
5.841039e8,5.689927e8
3.457206e8,5.092983e8
7.172882e8,4.095375e8
4.796552e8,5.0874410000000006e8
6.126774e8,6.202936e8
2.248463e8,6.035361e8
5.901602e8,3.979984e8
6.078457e8,7.603558e8
5.921043e8,9.511204e8
2.326768e8,6.426268e8
5.968937e8,5.406306e8
6.071537e8,8.065436e8
6.10731e8,5.611542e8
2.373131e8,5.671091e8
5.924479e8,4.1105e8
5.9107e8,7.013985e8
6.164821e8,7.531343e8
2.237557e8,5.845776e8
6.087226e8,5.381579e8
5.953492e8,5.988058e8
6.007073e8,9.420631e8
2.301642e8,7.119532e8
5.911865e8,4.367008e8
5.786922e8,7.148869e8
6.147342e8,7.607405e8
2.449181e8,5.700703e8
6.473627e8,4.04634e8
7.984812e8,9.500331e8
5.871061e8,5.685758e8
2.282562e8,5.412965e8
6.359735e8,4.369495e8
5.993164e8,6.956419e8
5.876138e8,8.791483e8
2.356936e8,5.77407e8
6.581444e8,4.443254e8
6.214053e8,7.29214e8
6.294321e8,7.203153e8
2.525889e8,5.916098e8
5.855492e8,7.204205e8
5.962384e8,5.75288e8
6.003779e8,8.381872e8
2.209185e8,5.323251e8
5.839273e8,7.32955e8
5.828469e8,5.530893e8
6.087693e8,7.744573e8
2.308839e8,4.587285e8
6.386611e8,5.385931e8
5.890287e8,7.491234e8
6.21289e8,7.136095e8
2.579919e8,5.0031499999999994e8
5.98847e8,6.326527e8
6.416766e8,6.644285e8
6.118151e8,7.067057e8
2.242575e8,4.622487e8
6.653615e8,5.389839e8
6.71787e8,7.502131e8
5.819401e8,6.813184e8
2.270154e8,4.693747e8
6.00042e8,5.861215e8
6.066273e8,7.190999e8
6.223811e8,7.250149e8
2.433882e8,4.544282e8
6.488898e8,5.942586e8
5.904498e8,8.824509e8
6.088941e8,5.782564e8
2.279876e8,5.307161e8
6.5781e8,3.638169e8
6.768761e8,1.084997e9
6.659615e8,5.036302e8
2.228124e8,3.353734e8
7.060883e8,1.1928615e9
6.544149e8,3.129576e8
6.636573e8,1.1451228e9
2.287133e8,7.615651e8
6.582336e8,7.681437e8
6.504623e8,7.111772e8
7.139023e8,7.568875e8
2.261404e8,7.209458e8
6.740224e8,6.427432e8
7.184092e8,8.629174e8
6.49599e8,7.473549e8
1.693617e8,1.1037299e9
7.753266e8,5.426965e8
6.796039e8,8.537827e8
6.898092e8,8.895683e8
2.243332e8,8.209135e8
7.840888e8,7.617277e8
7.755836e8,4.899903e8
6.884738e8,1.1868444e9
2.231348e8,7.198527e8
6.424898e8,7.394737e8
7.070772e8,4.827857e8
7.41328e8,7.235555e8
2.324844e8,6.833123e8
6.716832e8,7.164416e8
6.435955e8,5.421334e8
7.270536e8,1.1936124e9
2.303612e8,7.548524e8
6.69248e8,7.502613e8
6.809513e8,5.472841e8
6.491574e8,8.684213e8
2.20704e8,5.851121e8
6.368825e8,5.466802e8
6.496113e8,5.650934e8
6.406341e8,7.285848e8
2.248069e8,5.643196e8
6.732631e8,5.540642e8
6.544454e8,7.962829e8
5.89436e8,8.139995e8
2.346265e8,5.999269e8
6.087468e8,5.42071e8
6.063003e8,7.622689e8
5.970459e8,5.617034e8
2.256245e8,6.024931e8
6.033066e8,6.388927e8
6.136029e8,7.490018e8
6.012661e8,5.626441e8
2.362083e8,6.077851e8
7.905772e8,6.230284e8
7.870326e8,7.633002e8
7.920558e8,5.762127e8
2.366875e8,5.709417e8
8.061964e8,4.139608e8
7.859334e8,7.227781e8
7.917126e8,6.98114e8
2.303313e8,5.882046e8
6.299776e8,4.003765e8
6.74718e8,7.282786e8
6.289933e8,7.709304e8
2.478786e8,6.237752e8
6.136475e8,4.318518e8
6.121283e8,7.278036e8
6.156365e8,7.232134e8
2.276119e8,5.753353e8
6.031749e8,6.614682e8
6.171645e8,5.452485e8
6.321387e8,7.088739e8
2.249777e8,5.399057e8
6.146166e8,5.395336e8
6.227106e8,8.513333e8
5.938291e8,7.1106e8
2.210075e8,5.971526e8
6.037622e8,6.801326e8
6.324968e8,7.250918e8
6.095183e8,6.430291e8
2.484823e8,4.565424e8
8.969391e8,7.575218e8
7.544468e8,7.430427e8
4.704705e8,5.918971e8
2.425451e8,5.396142e8
6.474361e8,6.171521e8
5.940027e8,9.557049e8
6.118263e8,7.811163e8
2.6647300000000003e8,4.487957e8
5.954748e8,8.091674e8
6.114913e8,6.952661e8
6.359164e8,1.0499153000000001e9
2.343332e8,5.1633209999999994e8
6.319084e8,1.0645643e9
6.100179e8,4.344808e8
6.142394e8,1.0442026e9
2.5019609999999997e8,7.996276e8
6.122399e8,7.612785e8
6.003608e8,7.545609e8
5.915073e8,7.420006e8
2.276654e8,7.204367e8
8.273608e8,9.081464e8
5.0050039999999994e8,8.319585e8
6.03024e8,1.1254922e9
2.379441e8,2.438489e8
5.907397e8,7.292414e8
6.019466e8,7.068413e8
6.242214e8,7.127366e8
2.5995780000000003e8,2.450718e8
7.431877e8,7.370993e8
6.431321e8,6.814653e8
6.105981e8,7.041599e8
2.406571e8,2.484338e8
5.882031e8,7.568972e8
5.849439e8,7.374902e8
6.401254e8,7.128493e8
2.26087e8,2.443293e8
5.949932e8,7.459179e8
6.595199e8,6.923046e8
5.863592e8,7.037082e8
2.403865e8,2.478158e8
5.979898e8,7.526102e8
6.345105e8,7.10444e8
5.952514e8,7.053801e8
2.289756e8,2.52137e8
6.248707e8,7.462594e8
6.002362e8,7.263714e8
6.037033e8,7.337703e8
2.46055e8,2.5343710000000003e8
6.058558e8,7.537317e8
6.090514e8,7.163063e8
6.160686e8,7.101301e8
2.322637e8,2.408132e8
6.234154e8,7.622184e8
5.947298e8,7.387381e8
6.7897e8,9.540862e8
2.453989e8,7.147225e8
6.633798e8,6.13722e8
6.140455e8,5.586011e8
6.272342e8,5.153943e8
2.340486e8,7.682697e8
8.676976e8,6.130237e8
4.977582e8,5.585303e8
6.025919e8,5.248825e8
2.311463e8,6.961796e8
5.993711e8,6.130461e8
8.459199e8,4.664279e8
4.967023e8,7.066467e8
2.346544e8,6.756312e8
5.974242e8,6.114587e8
5.884279e8,6.875792e8
6.330023e8,5.409746e8
2.380302e8,7.043639e8
5.930774e8,6.16932e8
6.510975e8,4.693892e8
6.083947e8,7.297193e8
2.458341e8,6.246445e8
6.090207e8,5.393595e8
6.892361e8,7.384319e8
9.807159e8,5.963947e8
2.369503e8,6.208656e8
6.354405e8,5.670565e8
6.485212e8,6.004085e8
5.977374e8,8.571213e8
2.275412e8,6.032187e8
6.08984e8,4.074689e8
6.509438e8,7.349778e8
5.927004e8,7.581336e8
2.239529e8,5.77948e8
5.846236e8,4.432521e8
6.408019e8,7.367644e8
6.00617e8,9.037952e8
2.33969e8,5.164217e8
6.434163e8,4.997325e8
6.324e8,8.778076e8
5.964234e8,7.361892e8
2.366688e8,4.7992e8
6.029165e8,6.471208e8
7.020996e8,6.400532e8
6.13495e8,6.780993e8
2.25962e8,5.725956e8
5.895052e8,4.850005e8
6.747896e8,7.643784e8
6.097339e8,8.896393e8
2.413273e8,6.397024e8
5.900834e8,5.4641e8
6.05821e8,8.063232e8
6.142929e8,6.456982e8
2.438665e8,4.985348e8
6.043885e8,9.922837e8
6.14986e8,3.217572e8
6.20231e8,7.139413e8
2.297371e8,4.650036e8
6.309368e8,6.118183e8
8.340045e8,1.3004126e9
4.874337e8,7.803974e8
2.735172e8,4.512668e8
5.837229e8,1.0600263000000001e9
6.063764e8,8.0641e8
6.445476e8,7.092318e8
2.228043e8,7.175106e8
6.390793e8,7.229712e8
6.572707e8,9.798064e8
6.149553e8,7.717506e8
2.221515e8,1.1425657e9
6.390821e8,5.56223e8
6.070871e8,7.004253e8
5.880425e8,6.971335e8
1.828709e8,7.071605e8
6.258614e8,6.212562e8
6.126864e8,5.986239e8
5.985558e8,5.0367569999999994e8
2.348666e8,7.067291e8
6.05031e8,5.984353e8
6.226563e8,4.573924e8
6.132452e8,6.962443e8
2.272441e8,6.549412e8
5.879014e8,6.043292e8
6.14924e8,4.648223e8
6.61175e8,6.925798e8
2.502338e8,6.529094e8
5.978163e8,5.64731e8
6.438064e8,6.870442e8
6.299495e8,8.041004e8
2.42223e8,7.449802e8
6.041885e8,5.293409e8
6.346607e8,5.137437e8
6.394899e8,7.101869e8
2.39792e8,6.486711e8
5.903753e8,5.340424e8
6.179111e8,5.1010829999999994e8
5.939983e8,7.260735e8
2.822602e8,6.772143e8
4.936705e8,5.895377e8
5.078713e8,5.1169830000000006e8
4.970313e8,7.332183e8
2.387114e8,6.26169e8
4.945009e8,5.472935e8
5.004261e8,7.027498e8
5.0120010000000006e8,5.887144e8
2.403766e8,6.04884e8
5.014451e8,5.568783e8
4.987012e8,5.721933e8
5.0386929999999994e8,6.937706e8
2.348845e8,5.866403e8
4.934339e8,5.498951e8
5.22035e8,5.715861e8
5.0455479999999994e8,7.092234e8
2.327704e8,6.748654e8
4.987861e8,4.086847e8
4.973017e8,7.152935e8
5.0994189999999994e8,8.562702e8
2.559166e8,7.764571e8
4.994023e8,3.901567e8
4.978299e8,8.236301e8
5.00104e8,8.642605e8
